GlAccount_parentGlAccountId,GlAccount_glAccountId,GlAccount_accountCode,GlAccount_glAccountClassId,GlAccount_glAccountTypeId,GlAccount_glResourceTypeId,GlAccount_accountName,GlAccount_description,GlAccount_postedBalance
180000,185000,185000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - FURNITURE FIXTURES EQUIPMENT,,0
180000,186000,186000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - DATA PROCESSING EQUIP,,0
180000,187000,187000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - DATA PROCESSING SOFTWARE,,0
180000,188000,188000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - VEHICLES,,0
100000,190000,190000,ASSET,FIXED_ASSET,MONEY,OTHER ASSETS,,0
190000,191900,191900,ACCUM_AMORTIZATION,FIXED_ASSET,MONEY,ACCUMULATED AMORTIZATION,,0
190000,199000,199000,ASSET,FIXED_ASSET,MONEY,OTHER ASSETS,,0
,200000,200000,LIABILITY,,MONEY,LIABILITIES,,0
200000,210000,210000,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,ACCOUNTS PAYABLE,,0
210000,210001,210001,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Main Gate Security Service (P) Ltd,,0
210000,210002,210002,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Block Level Security Services (P) Ltd,,0
210000,210003,210003,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,HMWSSB,,0
210000,210004,210004,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,AP Transco Ltd,,0
210000,210005,210005,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,ILFS,,0
210000,210006,210006,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Garbage collection (P) Ltd,,0
210000,210007,210007,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,OTIS Lifts Ltd,,0
210000,210008,210008,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Water Tankers (P) Ltd,,0
210000,210009,210009,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Kirloskar Motors Ltd,,0
210000,210010,210010,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Nandi Pipes Ltd,,0
210000,210011,210011,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Sewerage Treatment (P) Ltd,,0
210000,210012,210012,CURRENT_LIABILITY,ACCOUNTS_PAYABLE,MONEY,Civil work contractor (P) Ltd,,0
210000,216000,216000,CURRENT_LIABILITY,ACCPAYABLE_UNAPPLIED,MONEY,ACCOUNTS PAYABLE - UNAPPLIED PAYMENTS,,0
200000,220000,220000,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,ACCRUED LIABILITIES,,0
220000,221000,221000,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,ACCRUED PAYROLL,,0
220000,221100,221100,CURRENT_LIABILITY,COMMISSIONS_PAYABLE,MONEY,ACCRUED COMMISSIONS DUE,,0
221000,221200,221200,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,ACCRUED WAGES DUE,,0
220000,222000,222000,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,STATUTORY LIABILITIES,,0
222000,222100,222100,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,TDS,,0
222100,222101,222101,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,TDS  SEC 192,TDS on Salaries,0
222100,222102,222102,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,TDS  SEC 194A,TDS on Interest,0
222100,222103,222103,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,TDS  SEC 194C,TDS on Contractors,0
222100,222104,222104,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,TDS  SEC 194-I,TDS on Rent,0
222000,222200,222200,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,OTHER DEDUCTIONS ,,0
222000,222300,222300,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,ESI DEDUCTION,,0
222000,222400,222400,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,PF DEDUCTION ,,0
222000,222500,222500,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,PROF TAX DEDUCTION,,0
220000,222600,222600,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,ACCRUED PAYROLL LIABILITY - EMPLOYER'S SHARE,,0
220000,222700,222700,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,TAXES ,,0
220000,222800,222800,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,VAT TAX ,,0
220000,222900,222900,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,SERVICE TAX ,,0
200000,230000,230000,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,CURRENT NOTES PAYABLE,,0
230000,231000,231000,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,SHORT TERM OBLIGATION,,0
